header,poolingSize,filterSize,numFilter,denseNode,train0,train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11
88,8,5,32 64,128,0.8464,0.9544,0.9640,0.9705,0.9743,0.9757,0.9774,0.9795,0.9808,0.9820,0.9822,0.9829,0.9723,0.9819,0.9871,0.9858,0.9880,0.9880,0.9903,0.9899,0.9904,0.9910,0.9921,0.9891
89,8,5,32 64,256,0.8684,0.9622,0.9719,0.9761,0.9789,0.9814,0.9828,0.9841,0.9858,0.9854,0.9869,0.9875,0.9788,0.9841,0.9874,0.9898,0.9894,0.9920,0.9901,0.9909,0.9917,0.9918,0.9938,0.9930
90,8,5,32 64,512,0.8921,0.9691,0.9754,0.9796,0.9825,0.9850,0.9862,0.9870,0.9887,0.9886,0.9898,0.9905,0.9809,0.9870,0.9885,0.9894,0.9912,0.9909,0.9917,0.9929,0.9927,0.9928,0.9943,0.9934
91,8,5,32 64,128,0.8461,0.9535,0.9650,0.9715,0.9749,0.9771,0.9795,0.9802,0.9809,0.9828,0.9833,0.9841,0.9739,0.9834,0.9861,0.9880,0.9897,0.9896,0.9911,0.9890,0.9915,0.9922,0.9916,0.9929
92,8,5,32 64,256,0.8691,0.9608,0.9701,0.9760,0.9781,0.9804,0.9827,0.9834,0.9851,0.9860,0.9866,0.9873,0.9776,0.9843,0.9882,0.9876,0.9895,0.9895,0.9917,0.9914,0.9924,0.9924,0.9930,0.9930
93,8,5,32 64,512,0.8912,0.9676,0.9763,0.9805,0.9828,0.9842,0.9865,0.9869,0.9881,0.9889,0.9899,0.9901,0.9786,0.9862,0.9885,0.9903,0.9906,0.9923,0.9919,0.9927,0.9939,0.9931,0.9928,0.9927
94,8,5,64 64,128,0.8560,0.9577,0.9680,0.9715,0.9752,0.9777,0.9805,0.9808,0.9819,0.9832,0.9837,0.9844,0.9780,0.9843,0.9875,0.9901,0.9897,0.9898,0.9918,0.9917,0.9913,0.9922,0.9929,0.9918
95,8,5,64 64,256,0.8793,0.9647,0.9738,0.9778,0.9798,0.9830,0.9839,0.9844,0.9862,0.9864,0.9877,0.9875,0.9801,0.9847,0.9891,0.9880,0.9902,0.9908,0.9924,0.9885,0.9930,0.9935,0.9932,0.9929
96,8,5,64 64,512,0.8998,0.9695,0.9770,0.9809,0.9826,0.9851,0.9859,0.9877,0.9887,0.9882,0.9898,0.9899,0.9763,0.9868,0.9892,0.9898,0.9901,0.9918,0.9921,0.9915,0.9931,0.9938,0.9942,0.9925
97,8,7,32 32,128,0.8106,0.9390,0.9517,0.9603,0.9646,0.9680,0.9699,0.9711,0.9739,0.9731,0.9757,0.9771,0.9661,0.9800,0.9836,0.9858,0.9857,0.9867,0.9866,0.9894,0.9890,0.9900,0.9883,0.9900
98,8,7,32 32,256,0.8424,0.9517,0.9633,0.9685,0.9714,0.9748,0.9763,0.9783,0.9795,0.9799,0.9818,0.9822,0.9757,0.9828,0.9848,0.9886,0.9887,0.9904,0.9901,0.9902,0.9901,0.9906,0.9913,0.9919
99,8,7,32 32,512,0.8725,0.9586,0.9686,0.9743,0.9756,0.9784,0.9800,0.9811,0.9830,0.9843,0.9848,0.9855,0.9751,0.9833,0.9871,0.9883,0.9896,0.9900,0.9892,0.9912,0.9913,0.9916,0.9920,0.9911
100,8,7,32 64,128,0.8528,0.9537,0.9664,0.9702,0.9739,0.9749,0.9786,0.9789,0.9813,0.9816,0.9826,0.9836,0.9746,0.9836,0.9872,0.9880,0.9902,0.9895,0.9899,0.9902,0.9893,0.9919,0.9918,0.9911
101,8,7,32 64,256,0.8732,0.9625,0.9714,0.9759,0.9786,0.9805,0.9820,0.9830,0.9847,0.9856,0.9864,0.9869,0.9801,0.9841,0.9853,0.9895,0.9900,0.9899,0.9918,0.9906,0.9929,0.9924,0.9923,0.9923
102,8,7,32 64,512,0.8928,0.9673,0.9752,0.9800,0.9824,0.9833,0.9857,0.9867,0.9878,0.9887,0.9893,0.9896,0.9801,0.9837,0.9878,0.9888,0.9895,0.9909,0.9912,0.9917,0.9907,0.9919,0.9930,0.9925
103,8,7,32 64,128,0.8553,0.9554,0.9662,0.9710,0.9748,0.9780,0.9784,0.9805,0.9822,0.9822,0.9830,0.9847,0.9766,0.9815,0.9869,0.9874,0.9892,0.9882,0.9911,0.9909,0.9910,0.9917,0.9920,0.9928
104,8,7,32 64,256,0.8718,0.9621,0.9723,0.9762,0.9799,0.9812,0.9836,0.9838,0.9855,0.9857,0.9865,0.9878,0.9769,0.9839,0.9873,0.9890,0.9912,0.9906,0.9919,0.9918,0.9922,0.9921,0.9935,0.9930
105,8,7,32 64,512,0.8993,0.9681,0.9769,0.9805,0.9827,0.9844,0.9866,0.9867,0.9882,0.9888,0.9896,0.9903,0.9808,0.9846,0.9853,0.9888,0.9905,0.9915,0.9920,0.9920,0.9918,0.9930,0.9919,0.9940
106,8,7,64 64,128,0.8490,0.9528,0.9651,0.9694,0.9738,0.9761,0.9779,0.9797,0.9821,0.9823,0.9829,0.9837,0.9748,0.9835,0.9860,0.9883,0.9879,0.9890,0.9909,0.9909,0.9918,0.9918,0.9923,0.9909
107,8,7,64 64,256,0.8825,0.9641,0.9720,0.9767,0.9802,0.9820,0.9836,0.9842,0.9854,0.9862,0.9866,0.9879,0.9801,0.9848,0.9867,0.9897,0.9888,0.9900,0.9886,0.9906,0.9928,0.9890,0.9937,0.9926
108,8,7,64 64,512,0.8951,0.9681,0.9775,0.9807,0.9822,0.9843,0.9863,0.9875,0.9874,0.9883,0.9898,0.9896,0.9795,0.9828,0.9888,0.9896,0.9910,0.9917,0.9919,0.9914,0.9924,0.9930,0.9929,0.9931
